[Lesson 5 - On the Way to the Library]

Julie | Good morning Yu-Jin. Where are you going?
Yu-Jin | Hi, Julie. My husband and I are going to the city library to borrow books. Oh, are you guys new to each other, right? This is Min-Su, my husband.
Julie | Hi, I'm Julie. Nice to meet you. I've heard a lot from Yu-Jin. Are you back from your business trip?
Min-Su | Nice to meet you, too. How are you? I'm fine, thank you. Yes, I'm back.
Yu-Jin | Oh, Min-Su... He only learned English from textbooks. And... he loves Konglish.
Julie | Konglish? That sounds interesting! While I stay here, we'll get to know each other, and your English will improve for sure. By the way, I want to go to the library. Can I join you?
Yu-Jin | Of course. Get in the car. It will take a few minutes.
Julie | Yeah! Let's go to the library!
Min-Su | Let's go. Oh, I need to adjust the position of the back mirror.
Julie | Back mirror? What's the back mirror?
Min-Su | "Back mirror." The mirror in front of the driver's seat.
Julie | Oh, you mean "Rear View Mirror"?
Yu-Jin | Wow, is the "back mirror" Konglish? Rear view mirror? In Korea, most people use the term "back mirror" instead of "rear view mirror."
Julie | It is interesting to hear the different usage of English expression between Korea and the States.
