Harry | Julie, how's your day?
Julie | **I was looking for jobs today**. I think I need to get a job.
Harry | I see. *I hope you do*. How about you, Soyeong?
Soyeong | I don't have any plans for the weekend yet. So, Julie, **are you going to keep track of things this weekend?**
Julie | No, I'm not. I don't want to *search for jobs* on weekend.
Soyeong | I'm with you. Julie.
Harry | *I agree*. Yu-Jin says there is a cherry blossom road nearby. The cherry blossoms are in full bloom this weekend. *I'm planning to visit there*. Do you want to go see them together?
Soyeong | Great idea! I'll take you to the places.
Julie | Wow, thanks. I saw cherry blossoms blooming in front of the guesthouse. It was so beautiful. I've never actually seen cherry blossoms before.
Harry | Me, too. **It looks like snow**. When the wind blows, *it feels like it's snowing*. If we go to Cherry Blossom Road, we will probably see the scene.
Soyeong | *I'm looking forward to it*. I'll take my camera. It will be a good chance to take a picture.
